gene_name	gene_biotype	gene_id
MEAF6	protein_coding	ENSG00000163875
C1orf232	protein_coding	ENSG00000282872
PPT1	protein_coding	ENSG00000131238
PLEKHG5	protein_coding	ENSG00000171680
LGALS8	protein_coding	ENSG00000116977
MRPL20	protein_coding	ENSG00000242485
VWA1	protein_coding	ENSG00000179403
ATAD3C	protein_coding	ENSG00000215915
ABCB10	protein_coding	ENSG00000135776
URB2	protein_coding	ENSG00000135763
RNF186	protein_coding	ENSG00000178828
OTUD3	protein_coding	ENSG00000169914
PLA2G2E	protein_coding	ENSG00000188784
OR2M7	protein_coding	ENSG00000177186
OR14C36	protein_coding	ENSG00000177174
KNCN	protein_coding	ENSG00000162456
MKNK1	protein_coding	ENSG00000079277
ARTN	protein_coding	ENSG00000117407
IPO13	protein_coding	ENSG00000117408
ATP6V0B	protein_coding	ENSG00000117410
CCDC24	protein_coding	ENSG00000159214
SLC6A9	protein_coding	ENSG00000196517
OR2T3	protein_coding	ENSG00000196539
OR2T5	protein_coding	ENSG00000203661
OR2T34	protein_coding	ENSG00000183310
OR14I1	protein_coding	ENSG00000189181
LCE3B	protein_coding	ENSG00000187238
LCE3A	protein_coding	ENSG00000185962
